Iterations,continuity,x-velocity,y-velocity,z-velocity,energy,k,epsilon
1,1,0.00183019,0.00801053,0.000695125,0.00096745,0.175453,66.6705
2,0.88091,0.00959068,0.0622347,0.0119983,0.00107604,0.130072,0.370801
3,0.635579,0.00701532,0.0403119,0.00817067,0.00116629,0.0904802,0.388537
4,0.545302,0.00399195,0.0197778,0.00477139,0.00115171,0.0850895,0.667742
5,0.480462,0.00293942,0.0109791,0.00264057,0.000947642,0.0677652,1.16605
6,0.37862,0.00235604,0.00614225,0.00205066,0.000773596,0.0518526,1.33142
7,0.284014,0.00196424,0.00392539,0.0014571,0.000638089,0.0377795,1.13381
8,0.203497,0.00168912,0.00278568,0.00127,0.000547553,0.0266213,0.832651
9,0.144183,0.00146796,0.00217307,0.0010115,0.000475584,0.0184214,0.570463
10,0.103594,0.00129842,0.00180969,0.000841526,0.00042216,0.012655,0.376355
11,0.0812416,0.0011726,0.00158082,0.000723887,0.000370506,0.00854424,0.237526
12,0.0701403,0.00107767,0.00143227,0.000625927,0.000324363,0.00583453,0.141265
13,0.0631633,0.00101173,0.00132593,0.000564205,0.000286038,0.00435563,0.0784349
14,0.0572952,0.000970154,0.00124373,0.000520391,0.000255469,0.00372701,0.0471196
15,0.0521967,0.000939156,0.00117823,0.000482089,0.000231571,0.00349903,0.0383564
16,0.0484472,0.000911233,0.00112088,0.000457672,0.000211979,0.00339127,0.0386859
17,0.045677,0.00088331,0.00106868,0.000439225,0.000195003,0.00331547,0.0407905
18,0.0439761,0.000854299,0.00102009,0.000423225,0.000179996,0.00322819,0.0417001
19,0.0428618,0.000825171,0.000973217,0.000407719,0.000166758,0.00312313,0.0411906
20,0.0420642,0.0007959,0.000927561,0.000390764,0.000155301,0.00299746,0.0394061
21,0.0412061,0.000765806,0.000883722,0.000373534,0.000144452,0.00284932,0.0368682
22,0.0403033,0.000734663,0.000840181,0.000357193,0.000134746,0.0026814,0.0339485
23,0.0392732,0.00070313,0.000797568,0.000339273,0.000125842,0.00253025,0.0311721
24,0.0379725,0.000670577,0.000756453,0.000322635,0.000117581,0.00239047,0.0287905
25,0.0366208,0.000638077,0.000716358,0.000305884,0.000110161,0.002259,0.0267272
26,0.0352498,0.000606002,0.00067786,0.000289599,0.000103009,0.00212703,0.0248291
27,0.0338708,0.000574984,0.000641215,0.000273581,9.57236e-05,0.00199736,0.0229221
28,0.0325069,0.000545099,0.000606058,0.000257279,8.89867e-05,0.0018898,0.0212643
29,0.0310991,0.000516113,0.000572513,0.000244234,8.24746e-05,0.00177818,0.019603
30,0.0297949,0.000489723,0.000541128,0.000229786,7.63523e-05,0.00168329,0.0181899
31,0.0284912,0.000462382,0.000510404,0.000218521,7.06191e-05,0.00159047,0.0168555
32,0.0272336,0.000438113,0.000482692,0.00020672,6.53622e-05,0.00149941,0.0156216
33,0.026052,0.000415032,0.000456238,0.000195957,6.04937e-05,0.0014215,0.0145695
34,0.0249386,0.000392869,0.000431429,0.000186598,5.59633e-05,0.0013534,0.0136435
35,0.0238393,0.000372154,0.000408235,0.000176683,5.19942e-05,0.00129162,0.0128541
36,0.0228327,0.000352443,0.000386694,0.000168095,4.84175e-05,0.00123957,0.0122041
37,0.0218664,0.000334131,0.00036668,0.000159126,4.52503e-05,0.00119212,0.0116896
38,0.0209409,0.000316796,0.000347648,0.000150518,4.24016e-05,0.00115198,0.0112847
39,0.0200409,0.000300814,0.00032993,0.000142257,3.97795e-05,0.00111628,0.010979
40,0.0192157,0.000285416,0.000313047,0.00013462,3.75221e-05,0.0010837,0.0108052
41,0.0184461,0.000271337,0.000297647,0.000126991,3.5529e-05,0.00105742,0.0106867
42,0.0176955,0.000257668,0.00028297,0.000120357,3.37299e-05,0.00103617,0.0106399
43,0.0169628,0.000245255,0.000269425,0.000113758,3.21518e-05,0.00101966,0.0106234
44,0.016279,0.000232936,0.000256439,0.00010835,3.0726e-05,0.00100416,0.0106478
45,0.0156615,0.000222005,0.000244839,0.000102939,2.94959e-05,0.00098823,0.010688
46,0.0150814,0.000211713,0.000234041,9.81246e-05,2.84482e-05,0.000970911,0.0106988
47,0.0145305,0.000201867,0.000224055,9.40707e-05,2.74915e-05,0.000953048,0.0106733
48,0.0140145,0.000192846,0.000214753,9.03779e-05,2.65499e-05,0.00093198,0.0106234
49,0.0135412,0.00018451,0.000205883,8.69472e-05,2.56119e-05,0.000910126,0.0104976
50,0.0130754,0.000176444,0.000197247,8.4042e-05,2.46312e-05,0.000884089,0.0103306
